4gtv,#genre#
主要通告,http://2099.tv12.xyz/1_1765359341675.m3u8
中天新聞台,http://2099.tv12.xyz/2_1765359341675.m3u8
TVBS新聞,http://2099.tv12.xyz/3_1765359341675.m3u8
民視新聞台,http://2099.tv12.xyz/4_1765359341675.m3u8
東森新聞台,http://2099.tv12.xyz/5_1765359341675.m3u8
華視新聞,http://2099.tv12.xyz/6_1765359341675.m3u8
鏡電視新聞台,http://2099.tv12.xyz/7_1765359341675.m3u8
東森財經新聞台,http://2099.tv12.xyz/8_1765359341675.m3u8
中視新聞,http://2099.tv12.xyz/9_1765359341675.m3u8
寰宇新聞台,http://2099.tv12.xyz/10_1765359341675.m3u8
寰宇新聞台灣台,http://2099.tv12.xyz/11_1765359341675.m3u8
三立新聞iNEWS,http://2099.tv12.xyz/12_1765359341675.m3u8
Bloomberg TV,http://2099.tv12.xyz/13_1765359341675.m3u8
SBN全球財經台,http://2099.tv12.xyz/14_1765359341675.m3u8
FRANCE24 英文台,http://2099.tv12.xyz/15_1765359341675.m3u8
半島國際新聞台,http://2099.tv12.xyz/16_1765359341675.m3u8
NHK WORLD-JAPAN,http://2099.tv12.xyz/17_1765359341675.m3u8
CNBC Asia 財經台,http://2099.tv12.xyz/18_1765359341675.m3u8
DW德國之聲,http://2099.tv12.xyz/19_1765359341675.m3u8
民視第一台,http://2099.tv12.xyz/20_1765359341675.m3u8
民視台灣台,http://2099.tv12.xyz/21_1765359341675.m3u8
民視,http://2099.tv12.xyz/22_1765359341675.m3u8
三立綜合台,http://2099.tv12.xyz/23_1765359341675.m3u8
華視,http://2099.tv12.xyz/24_1765359341675.m3u8
中視,http://2099.tv12.xyz/25_1765359341675.m3u8
中視經典台,http://2099.tv12.xyz/26_1765359341675.m3u8
中視菁采台,http://2099.tv12.xyz/27_1765359341675.m3u8
八大綜藝台,http://2099.tv12.xyz/28_1765359341675.m3u8
TVBS精采台,http://2099.tv12.xyz/29_1765359341675.m3u8
民視綜藝台,http://2099.tv12.xyz/30_1765359341675.m3u8
TVBS,http://2099.tv12.xyz/31_1765359341675.m3u8
TVBS歡樂台,http://2099.tv12.xyz/32_1765359341675.m3u8
TVBS綜藝台,http://2099.tv12.xyz/33_1765359341675.m3u8
TVBS台劇台,http://2099.tv12.xyz/34_1765359341675.m3u8
靖天綜合台,http://2099.tv12.xyz/35_1765359341675.m3u8
靖天日本台,http://2099.tv12.xyz/36_1765359341675.m3u8
KLT-靖天國際台,http://2099.tv12.xyz/37_1765359341675.m3u8
靖天資訊台,http://2099.tv12.xyz/38_1765359341675.m3u8
Nice TV 靖天歡樂台,http://2099.tv12.xyz/39_1765359341675.m3u8
新唐人亞太台,http://2099.tv12.xyz/40_1765359341675.m3u8
ARIRANG阿里郎頻道,http://2099.tv12.xyz/41_1765359341675.m3u8
Global Trekker,http://2099.tv12.xyz/42_1765359341675.m3u8
原住民族電視台,http://2099.tv12.xyz/43_1765359341675.m3u8
客家電視台,http://2099.tv12.xyz/44_1765359341675.m3u8
國會頻道1,http://2099.tv12.xyz/45_1765359341675.m3u8
國會頻道2,http://2099.tv12.xyz/46_1765359341675.m3u8
好消息,http://2099.tv12.xyz/47_1765359341675.m3u8
好消息2台,http://2099.tv12.xyz/48_1765359341675.m3u8
大愛電視,http://2099.tv12.xyz/49_1765359341675.m3u8
大愛二台,http://2099.tv12.xyz/50_1765359341675.m3u8
人間衛視,http://2099.tv12.xyz/51_1765359341675.m3u8
民視旅遊台,http://2099.tv12.xyz/52_1765359341675.m3u8
亞洲旅遊台,http://2099.tv12.xyz/53_1765359341675.m3u8
愛爾達生活旅遊台,http://2099.tv12.xyz/54_1765359341675.m3u8
fun探索娛樂台,http://2099.tv12.xyz/55_1765359341675.m3u8
幸福空間居家台,http://2099.tv12.xyz/56_1765359341675.m3u8
Love Nature,http://2099.tv12.xyz/57_1765359341675.m3u8
History 歷史頻道,http://2099.tv12.xyz/58_1765359341675.m3u8
LUXE TV Channel,http://2099.tv12.xyz/59_1765359341675.m3u8
TV5MONDE STYLE HD 生活時尚,http://2099.tv12.xyz/60_1765359341675.m3u8
MagellanTV頻道 (麥哲倫頻道),http://2099.tv12.xyz/61_1765359341675.m3u8
Lifetime 娛樂頻道,http://2099.tv12.xyz/62_1765359341675.m3u8
ROCK Entertainment,http://2099.tv12.xyz/63_1765359341675.m3u8
八大精彩台,http://2099.tv12.xyz/64_1765359341675.m3u8
靖天育樂台,http://2099.tv12.xyz/65_1765359341675.m3u8
豬哥亮歌廳秀,http://2099.tv12.xyz/66_1765359341675.m3u8
韓國娛樂台 KMTV,http://2099.tv12.xyz/67_1765359341675.m3u8
愛爾達娛樂台,http://2099.tv12.xyz/68_1765359341675.m3u8
民視影劇台,http://2099.tv12.xyz/69_1765359341675.m3u8
公視戲劇,http://2099.tv12.xyz/70_1765359341675.m3u8
采昌影劇台,http://2099.tv12.xyz/71_1765359341675.m3u8
靖天戲劇台,http://2099.tv12.xyz/72_1765359341675.m3u8
靖洋戲劇台,http://2099.tv12.xyz/73_1765359341675.m3u8
靖天映畫,http://2099.tv12.xyz/74_1765359341675.m3u8
靖天電影台,http://2099.tv12.xyz/75_1765359341675.m3u8
影迷數位電影台,http://2099.tv12.xyz/76_1765359341675.m3u8
amc電影台,http://2099.tv12.xyz/77_1765359341675.m3u8
CinemaWorld,http://2099.tv12.xyz/78_1765359341675.m3u8
My Cinema Europe HD 我的歐洲電影,http://2099.tv12.xyz/79_1765359341675.m3u8
經典電影台,http://2099.tv12.xyz/80_1765359341675.m3u8
電影原聲台CMusic,http://2099.tv12.xyz/81_1765359341675.m3u8
CI 罪案偵查頻道,http://2099.tv12.xyz/82_1765359341675.m3u8
視納華仁紀實頻道,http://2099.tv12.xyz/83_1765359341675.m3u8
影迷數位紀實台,http://2099.tv12.xyz/84_1765359341675.m3u8
戲劇免費看 1台,http://2099.tv12.xyz/85_1765359341675.m3u8
LiveABC互動英語頻道,http://2099.tv12.xyz/86_1765359341675.m3u8
ELTV生活英語台,http://2099.tv12.xyz/87_1765359341675.m3u8
MOMO親子台,http://2099.tv12.xyz/88_1765359341675.m3u8
Nick Jr. 兒童頻道,http://2099.tv12.xyz/89_1765359341675.m3u8
尼克兒童頻道,http://2099.tv12.xyz/90_1765359341675.m3u8
DreamWorks 夢工廠動畫,http://2099.tv12.xyz/91_1765359341675.m3u8
靖天卡通台,http://2099.tv12.xyz/92_1765359341675.m3u8
靖洋卡通Nice Bingo,http://2099.tv12.xyz/93_1765359341675.m3u8
金光布袋戲,http://2099.tv12.xyz/94_1765359341675.m3u8
霹靂布袋戲,http://2099.tv12.xyz/95_1765359341675.m3u8
經典卡通台,http://2099.tv12.xyz/96_1765359341675.m3u8
精選動漫台,http://2099.tv12.xyz/97_1765359341675.m3u8
MTV Live HD 音樂頻道,http://2099.tv12.xyz/98_1765359341675.m3u8
Mezzo Live HD,http://2099.tv12.xyz/99_1765359341675.m3u8
CLASSICA 古典樂,http://2099.tv12.xyz/100_1765359341675.m3u8
INULTRA,http://2099.tv12.xyz/101_1765359341675.m3u8
TRACE Urban,http://2099.tv12.xyz/102_1765359341675.m3u8
TRACE Sport Stars,http://2099.tv12.xyz/103_1765359341675.m3u8
ROCK Action,http://2099.tv12.xyz/104_1765359341675.m3u8
HITS頻道,http://2099.tv12.xyz/105_1765359341675.m3u8
車迷TV,http://2099.tv12.xyz/106_1765359341675.m3u8
GINX Esports TV,http://2099.tv12.xyz/107_1765359341675.m3u8
Pet Club TV,http://2099.tv12.xyz/108_1765359341675.m3u8
滾動力rollor,http://2099.tv12.xyz/109_1765359341675.m3u8
達文西頻道,http://2099.tv12.xyz/110_1765359341675.m3u8
智林體育台,http://2099.tv12.xyz/111_1765359341675.m3u8
時尚運動X,http://2099.tv12.xyz/112_1765359341675.m3u8
四季1,#genre#
中天新闻,http://2099.tv12.xyz/113_1765359341675.m3u8
寰宇新闻,http://2099.tv12.xyz/114_1765359341675.m3u8
东森新闻,http://2099.tv12.xyz/115_1765359341675.m3u8
tvbs新闻,http://2099.tv12.xyz/116_1765359341675.m3u8
三立新闻,http://2099.tv12.xyz/117_1765359341675.m3u8
闽镜新闻,http://2099.tv12.xyz/118_1765359341675.m3u8
民视新闻,http://2099.tv12.xyz/119_1765359341675.m3u8
中视新闻,http://2099.tv12.xyz/120_1765359341675.m3u8
华视新闻,http://2099.tv12.xyz/121_1765359341675.m3u8
民视闽南,http://2099.tv12.xyz/122_1765359341675.m3u8
民视闽南,http://2099.tv12.xyz/123_1765359341675.m3u8
中视闽南,http://2099.tv12.xyz/124_1765359341675.m3u8
华视闽南,http://2099.tv12.xyz/125_1765359341675.m3u8
寰宇闽南,http://2099.tv12.xyz/126_1765359341675.m3u8
tvbs闽南,http://2099.tv12.xyz/127_1765359341675.m3u8
民视台湾,http://2099.tv12.xyz/128_1765359341675.m3u8
民视第一,http://2099.tv12.xyz/129_1765359341675.m3u8
民视旅游,http://2099.tv12.xyz/130_1765359341675.m3u8
民视影剧,http://2099.tv12.xyz/131_1765359341675.m3u8
民视综艺,http://2099.tv12.xyz/132_1765359341675.m3u8
中视菁采,http://2099.tv12.xyz/133_1765359341675.m3u8
中视经典,http://2099.tv12.xyz/134_1765359341675.m3u8
公视戏剧,http://2099.tv12.xyz/135_1765359341675.m3u8
全球财经,http://2099.tv12.xyz/136_1765359341675.m3u8
东森财经,http://2099.tv12.xyz/137_1765359341675.m3u8
cnbc财经,http://2099.tv12.xyz/138_1765359341675.m3u8
tvbs精采,http://2099.tv12.xyz/139_1765359341675.m3u8
tvbs欢乐,http://2099.tv12.xyz/140_1765359341675.m3u8
tvbs综艺,http://2099.tv12.xyz/141_1765359341675.m3u8
tvbs台剧,http://2099.tv12.xyz/142_1765359341675.m3u8
八大精彩,http://2099.tv12.xyz/143_1765359341675.m3u8
八大综艺,http://2099.tv12.xyz/144_1765359341675.m3u8
三立综合,http://2099.tv12.xyz/145_1765359341675.m3u8
爱达娱乐,http://2099.tv12.xyz/146_1765359341675.m3u8
靖洋戏剧,http://2099.tv12.xyz/147_1765359341675.m3u8
靖洋卡通,http://2099.tv12.xyz/148_1765359341675.m3u8
靖天卡通,http://2099.tv12.xyz/149_1765359341675.m3u8
靖天综合,http://2099.tv12.xyz/150_1765359341675.m3u8
靖天日本,http://2099.tv12.xyz/151_1765359341675.m3u8
